Label,url_length,num_dots,num_hyphens,num_at,has_https,contains_login
phishing,225,6,4,0,0,1
phishing,81,5,2,0,0,0
phishing,177,7,1,0,0,0
phishing,60,6,0,0,0,0
phishing,116,1,1,0,0,0
phishing,36,3,0,0,0,0
phishing,61,2,3,0,0,0
phishing,60,5,0,0,0,0
phishing,19,1,0,0,0,0
phishing,193,4,3,0,0,1
phishing,45,3,0,0,0,0
phishing,79,2,0,0,0,0
phishing,63,4,1,0,0,0
phishing,59,3,0,0,0,0
phishing,64,1,1,0,0,0
phishing,72,3,0,0,0,0
phishing,36,3,0,0,0,0
phishing,53,3,0,0,0,0
phishing,37,2,0,0,0,0
phishing,63,1,1,0,0,0
phishing,65,5,0,0,0,0
phishing,52,3,1,0,0,0
phishing,59,5,0,0,0,0
phishing,47,2,0,0,0,0
phishing,49,5,0,0,0,0
phishing,87,2,6,0,0,0
phishing,77,2,1,0,0,0
phishing,12,1,0,0,0,0
phishing,63,5,0,0,0,0
phishing,135,11,1,0,0,1
phishing,29,2,0,0,0,0
phishing,188,4,3,0,0,1
phishing,95,3,6,0,0,1
phishing,58,3,0,0,0,0
phishing,37,2,0,0,0,0
phishing,66,3,0,0,0,0
phishing,94,4,0,0,0,0
phishing,48,4,0,0,0,0
phishing,27,3,0,0,0,0
phishing,47,2,1,0,0,1
phishing,33,3,0,0,0,0
phishing,90,2,0,0,0,0
phishing,103,10,0,0,0,1
phishing,19,1,0,0,0,0
phishing,37,3,0,0,0,0
phishing,13,1,0,0,0,0
phishing,59,2,0,0,0,1
phishing,42,2,0,0,0,0
phishing,78,3,0,0,0,0
phishing,50,3,0,0,0,0
phishing,28,2,0,0,0,0
phishing,79,2,0,0,0,0
phishing,48,2,0,0,0,0
phishing,64,3,2,0,0,0
phishing,38,3,0,0,0,0
phishing,19,1,0,0,0,0
phishing,52,3,0,0,0,0
phishing,34,3,0,0,0,0
phishing,32,2,0,0,0,0
phishing,55,3,0,0,0,0
phishing,41,3,0,0,0,0
phishing,42,2,0,0,0,0
phishing,41,6,0,0,0,0
phishing,189,3,1,0,0,1
phishing,72,4,0,0,0,1
phishing,180,3,2,0,0,0
phishing,37,1,0,0,0,0
phishing,50,5,0,0,0,0
phishing,125,4,1,0,0,0
phishing,42,3,0,0,0,0
phishing,45,3,0,0,0,1
phishing,56,3,1,0,0,0
phishing,128,4,5,0,0,1
phishing,183,6,3,0,0,0
phishing,72,5,0,0,0,1
phishing,50,3,1,0,0,1
phishing,206,2,0,0,0,0
phishing,18,1,1,0,0,0
phishing,69,3,0,0,0,0
phishing,73,4,0,0,0,0
phishing,62,5,0,0,0,0
phishing,29,3,0,0,0,1
phishing,23,3,0,0,0,0
phishing,41,2,0,0,0,0
phishing,44,3,0,0,0,0
phishing,54,4,1,0,0,0
phishing,95,3,0,0,0,0
phishing,200,3,2,0,0,0
phishing,48,1,1,0,0,0
phishing,120,7,0,0,0,0
phishing,57,4,0,0,0,0
phishing,210,2,2,0,0,1
phishing,93,2,7,0,0,0
phishing,28,3,0,0,0,0
phishing,23,2,0,0,0,0
phishing,33,3,0,0,0,0
phishing,33,2,1,0,0,0
phishing,17,2,0,0,0,0
phishing,19,2,0,0,0,0
phishing,30,3,0,0,0,1
phishing,18,2,1,0,0,0
phishing,186,2,0,0,0,0
phishing,16,2,1,0,0,0
phishing,66,3,0,0,0,0
phishing,92,3,2,0,0,0
phishing,91,3,2,0,0,0
phishing,14,2,0,0,0,0
phishing,79,2,0,0,0,0
phishing,54,3,0,0,0,0
phishing,181,2,1,0,0,1
phishing,116,5,3,0,0,0
phishing,19,1,0,0,0,0
phishing,63,4,3,0,0,0
phishing,34,2,0,0,0,0
phishing,97,11,2,0,0,1
phishing,62,3,1,0,0,0
phishing,177,15,2,0,0,1
phishing,97,4,0,0,0,0
phishing,231,3,3,0,0,0
phishing,158,5,1,0,0,0
phishing,221,2,4,0,0,0
phishing,203,5,8,0,0,0
phishing,33,1,0,0,0,0
phishing,103,10,0,0,0,1
phishing,153,10,2,0,0,1
phishing,118,12,0,0,0,1
phishing,30,1,1,0,0,0
phishing,101,3,2,0,0,0
phishing,106,2,0,0,0,0
phishing,43,2,1,0,0,0
phishing,135,11,1,0,0,1
phishing,112,11,0,0,0,1
phishing,127,6,2,0,0,1
phishing,103,6,1,0,0,1
phishing,35,3,0,0,0,1
phishing,159,13,5,0,0,1
phishing,160,12,5,0,0,1
phishing,163,13,5,0,0,1
phishing,35,2,0,0,0,0
phishing,192,3,1,0,0,1
phishing,237,6,1,0,0,1
phishing,66,3,1,0,0,1
phishing,112,8,1,0,0,1
phishing,100,8,1,0,0,1
phishing,93,5,1,0,0,1
phishing,113,3,2,0,0,0
phishing,42,2,0,0,0,0
phishing,123,2,6,0,0,1
phishing,128,12,1,0,0,1
phishing,117,5,3,0,0,0
phishing,203,3,2,0,0,1
phishing,28,2,0,0,0,1
phishing,61,3,1,0,0,0
phishing,209,3,2,0,0,0
phishing,47,2,1,0,0,0
phishing,55,2,0,0,0,1
phishing,57,2,0,0,0,1
phishing,136,7,2,0,0,1
phishing,143,12,1,0,0,1
phishing,178,11,1,0,0,0
phishing,126,12,3,0,0,1
